artist_name,id,href,popularity,genres
Miles Davis,ABC45,https://api.spotify.com/v1/artists/0kbYTNQb4Pb1rPbbaF0pT4,100,"cool jazz, hard bop, jazz, jazz fusion, jazz trumpet, soul, vocal jazz"
Miles Davis Quintet,71Ur25Abq58vksqJINpGdx,https://api.spotify.com/v1/artists/71Ur25Abq58vksqJINpGdx,49,"bebop, contemporary post-bop, cool jazz, jazz"
Miles Davis Sextet,1i4ed4I1y7YerI0fQV4lVc,https://api.spotify.com/v1/artists/1i4ed4I1y7YerI0fQV4lVc,24,"bebop, jazz"
Miles Davis And Milt Jackson Quintet,51gulqh1DpAHn0ZUNMRBRu,https://api.spotify.com/v1/artists/51gulqh1DpAHn0ZUNMRBRu,23,
Myles Smith,3bO19AOone0ubCsfDXDtYt,https://api.spotify.com/v1/artists/3bO19AOone0ubCsfDXDtYt,62,singer-songwriter pop
Miles Davis And His Quintet,0LW6sREPWemmi5wZDhTh0M,https://api.spotify.com/v1/artists/0LW6sREPWemmi5wZDhTh0M,11,
Andrew Davis,1Q9HCWdqbiui9pOsDtYkXW,https://api.spotify.com/v1/artists/1Q9HCWdqbiui9pOsDtYkXW,53,"classical performance, orchestral performance"
Miles Minnick,1VEtrxO5KlDXfYGKBI6Ldr,https://api.spotify.com/v1/artists/1VEtrxO5KlDXfYGKBI6Ldr,43,"christian hip hop, christian trap"
Davies,3JX5OfBuVx3kqJjigmW4Jy,https://api.spotify.com/v1/artists/3JX5OfBuVx3kqJjigmW4Jy,41,
Alexa Davies,30o4QIjXJukHg0IGC93AV1,https://api.spotify.com/v1/artists/30o4QIjXJukHg0IGC93AV1,48,show tunes
Davis,1UMFvfUUhddeehpyd7D8dw,https://api.spotify.com/v1/artists/1UMFvfUUhddeehpyd7D8dw,35,
Miles Teller,0Mwiznen8otvLN9KAHeUlq,https://api.spotify.com/v1/artists/0Mwiznen8otvLN9KAHeUlq,41,
Charlie Parker & Miles Davis,2egOnWhcBtW7MXHWWdjBDn,https://api.spotify.com/v1/artists/2egOnWhcBtW7MXHWWdjBDn,10,
Foster Davies,78Pm7H24T9om74ZfNs4UF7,https://api.spotify.com/v1/artists/78Pm7H24T9om74ZfNs4UF7,39,background jazz
Mimi Davies,1TyyV46EBJAiR2JXpMLFEX,https://api.spotify.com/v1/artists/1TyyV46EBJAiR2JXpMLFEX,36,instrumental lullaby
Mac Davis,6HX8AbXUFaYRtlqKb4CCo0,https://api.spotify.com/v1/artists/6HX8AbXUFaYRtlqKb4CCo0,36,"classic country pop, country rock"
MiLES.,4Mt0UzpAedYJYAvDMNjx2I,https://api.spotify.com/v1/artists/4Mt0UzpAedYJYAvDMNjx2I,36,chill abstract hip hop
Mr Davies,2gLbE2Cr7iD5hNTTTFgY2K,https://api.spotify.com/v1/artists/2gLbE2Cr7iD5hNTTTFgY2K,37,
Miles Davis (With Easy Mo Bee),2TVOscfpfIwOuHU17wcuB1,https://api.spotify.com/v1/artists/2TVOscfpfIwOuHU17wcuB1,16,
Mike's Dead,6uLNznYVguXrwbIPj9qUb1,https://api.spotify.com/v1/artists/6uLNznYVguXrwbIPj9qUb1,34,
